"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input.subjID","Input.keycode","Answer.comments","Answer.keycodeinput","Answer.numcompleted","Approve","Reject"
"36BTXXLZ2VJBHES1WGMKQ6WGQC64RE","356P7NIWHJYXYSEQJ9ST3NB4R30FV5","RATE_EVENTS#2 (option to continue for bonus hits!)","Read sentences and make judgements","sentences, ratings, emotion, psychology","$0.10","Sun Apr 06 18:48:36 GMT 2014","1","BatchId:1483218;","72000","172800","Sun Apr 13 18:48:36 GMT 2014","","","3MRNMEIQW6HG1WEBA9VIWID6075DL1","A54LXR41ZNYR5","Approved","Sun Apr 06 18:50:28 GMT 2014","Sun Apr 06 18:51:22 GMT 2014","Tue Apr 08 11:51:22 PDT 2014","Sun Apr 06 11:55:18 PDT 2014","","","54","100% (2/2)","100% (2/2)","100% (1/1)","Ndim21b_q016_01_307","x442185152q01600x","Regarding a mix up.
Thanks!","assignmentIDfix","35"
"3CVDZS288HBUIECYBPMMVBZX9FFMFV","356P7NIWHJYXYSEQJ9ST3NB4R30FV5","RATE_EVENTS#2 (option to continue for bonus hits!)","Read sentences and make judgements","sentences, ratings, emotion, psychology","$0.10","Sun Apr 06 18:48:36 GMT 2014","1","BatchId:1483218;","72000","172800","Sun Apr 13 18:48:36 GMT 2014","","","3KB8R4ZV1FI7072QLM7WO0KY15ABGP","A1C57DJF1HCR3Q","Approved","Sun Apr 06 19:19:58 GMT 2014","Sun Apr 06 19:38:25 GMT 2014","Tue Apr 08 12:38:25 PDT 2014","Sun Apr 06 19:26:30 PDT 2014","","","1107","100% (1/1)","100% (1/1)","100% (1/1)","Ndim21b_q016_02_296","x436424411q01610x","","x436424411q01610x","10"
"3Z56AA6EK4BYZLJNAWJI15MKGGC6MC","356P7NIWHJYXYSEQJ9ST3NB4R30FV5","RATE_EVENTS#2 (option to continue for bonus hits!)","Read sentences and make judgements","sentences, ratings, emotion, psychology","$0.10","Sun Apr 06 18:48:36 GMT 2014","1","BatchId:1483218;","72000","172800","Mon Apr 07 02:29:20 GMT 2014","","","3Q5C1WP23NC87CVE2TVGERG0PK451H","A365XWY0OZ3MU0","Approved","Sun Apr 06 19:17:59 GMT 2014","Mon Apr 07 03:54:45 GMT 2014","Tue Apr 08 20:54:45 PDT 2014","Mon Apr 07 11:52:49 PDT 2014","","","31006","100% (1/1)","100% (1/1)","100% (1/1)","Ndim21b_q017_01_513","x442185152q01700x","Extremely interesting and enjoyable study.","x442185152q01700x.","100"
"3X2YVV51PUFZXBC48SDOF7XU67B1W1","356P7NIWHJYXYSEQJ9ST3NB4R30FV5","RATE_EVENTS#2 (option to continue for bonus hits!)","Read sentences and make judgements","sentences, ratings, emotion, psychology","$0.10","Sun Apr 06 18:48:36 GMT 2014","1","BatchId:1483218;","72000","172800","Sun Apr 13 18:48:36 GMT 2014","","","39LNWE0K4V70SXHRB1OUE2P2538IU4","AGXEPC5GG6JCE","Approved","Sun Apr 06 19:19:15 GMT 2014","Sun Apr 06 21:55:17 GMT 2014","Tue Apr 08 14:55:17 PDT 2014","Sun Apr 06 19:25:12 PDT 2014","","","9362","100% (1/1)","100% (1/1)","100% (1/1)","Ndim21b_q017_02_360","x436424411q01710x","","x436424411q01710x.","33"
"3HO4MYYR12ZHCTOWJYA4SF3ET2FU6S","356P7NIWHJYXYSEQJ9ST3NB4R30FV5","RATE_EVENTS#2 (option to continue for bonus hits!)","Read sentences and make judgements","sentences, ratings, emotion, psychology","$0.10","Sun Apr 06 18:48:36 GMT 2014","1","BatchId:1483218;","72000","172800","Mon Apr 07 02:29:21 GMT 2014","","","3W92K5RLWVSOTOBC97F5LFNGEOC5V7","A3HLCR4YCHJWBI","Approved","Sun Apr 06 19:18:30 GMT 2014","Mon Apr 07 14:57:41 GMT 2014","Wed Apr 09 07:57:41 PDT 2014","Mon Apr 07 12:21:09 PDT 2014","","","70751","100% (2/2)","100% (2/2)","100% (2/2)","Ndim21b_q018_01_119","x442185152q01800x","Long but fun!","x442185152q01800x","117"
"3LCXHSGDLTH5AVP70BY2P2D3P3IESH","356P7NIWHJYXYSEQJ9ST3NB4R30FV5","RATE_EVENTS#2 (option to continue for bonus hits!)","Read sentences and make judgements","sentences, ratings, emotion, psychology","$0.10","Sun Apr 06 18:48:36 GMT 2014","1","BatchId:1483218;","72000","172800","Sun Apr 13 18:48:36 GMT 2014","","","39L1G8WVWR25TX8AOA7NZUIGBOE13O","ARJCTIBIT3OJ8","Approved","Sun Apr 06 19:18:44 GMT 2014","Mon Apr 07 01:05:24 GMT 2014","Tue Apr 08 18:05:24 PDT 2014","Sun Apr 06 19:23:31 PDT 2014","","","20800","100% (1/1)","100% (1/1)","100% (1/1)","Ndim21b_q018_02_853","x436424411q01810x","","x436424411q01810x","123"
"338431Z1FLQFL72JF01T442L735ROA","356P7NIWHJYXYSEQJ9ST3NB4R30FV5","RATE_EVENTS#2 (option to continue for bonus hits!)","Read sentences and make judgements","sentences, ratings, emotion, psychology","$0.10","Sun Apr 06 18:48:36 GMT 2014","1","BatchId:1483218;","72000","172800","Sun Apr 13 18:48:36 GMT 2014","","","358010RM5F4XV7VMFDY0DYE07NLVX6","A2EA369RYI4L86","Approved","Sun Apr 06 19:19:40 GMT 2014","Sun Apr 06 19:29:45 GMT 2014","Tue Apr 08 12:29:45 PDT 2014","Sun Apr 06 19:25:34 PDT 2014","","","605","100% (1/1)","100% (1/1)","100% (1/1)","Ndim21b_q019_01_600","x442185152q01900x","Thank you. :)","x442185152q01900x","2"
"33KGGVH24USEMBHUIX9AHQB1F9H1XU","356P7NIWHJYXYSEQJ9ST3NB4R30FV5","RATE_EVENTS#2 (option to continue for bonus hits!)","Read sentences and make judgements","sentences, ratings, emotion, psychology","$0.10","Sun Apr 06 18:48:36 GMT 2014","1","BatchId:1483218;","72000","172800","Sun Apr 13 18:48:36 GMT 2014","","","3DR23U6WE6P9CF0GFD8TOR58UWTETZ","AQAGBYCNPTMNN","Approved","Sun Apr 06 18:55:10 GMT 2014","Sun Apr 06 19:05:14 GMT 2014","Tue Apr 08 12:05:14 PDT 2014","Sun Apr 06 19:27:35 PDT 2014","","","604","100% (1/1)","100% (1/1)","100% (1/1)","Ndim21b_q019_02_678","x436424411q01910x","","x436424411q01910x","4"
"38EHZ67RIM30WE8TM9S4DWZ9AUFMGU","356P7NIWHJYXYSEQJ9ST3NB4R30FV5","RATE_EVENTS#2 (option to continue for bonus hits!)","Read sentences and make judgements","sentences, ratings, emotion, psychology","$0.10","Sun Apr 06 18:48:36 GMT 2014","1","BatchId:1483218;","72000","172800","Mon Apr 07 02:29:21 GMT 2014","","","3UWN2HHPUZGCRL0EJC6M493V65HSNE","AVC62JNYAXA45","Approved","Sun Apr 06 19:17:50 GMT 2014","Mon Apr 07 14:24:31 GMT 2014","Wed Apr 09 07:24:31 PDT 2014","Mon Apr 07 12:22:37 PDT 2014","","","68801","100% (1/1)","100% (1/1)","100% (1/1)","Ndim21b_q020_01_267","x442185152q02000x","","x442185152q02000x","10"
"37VHPF5VYCE8UDQKQMM2INDZSXYC8M","356P7NIWHJYXYSEQJ9ST3NB4R30FV5","RATE_EVENTS#2 (option to continue for bonus hits!)","Read sentences and make judgements","sentences, ratings, emotion, psychology","$0.10","Sun Apr 06 18:48:37 GMT 2014","1","BatchId:1483218;","72000","172800","Sun Apr 13 18:48:37 GMT 2014","","","3JNQLM5FT5XTYMGVDKB10ZM23GI2LJ","A3F6SDO4GYBE4Y","Approved","Sun Apr 06 19:18:15 GMT 2014","Sun Apr 06 23:07:58 GMT 2014","Tue Apr 08 16:07:58 PDT 2014","Sun Apr 06 19:24:25 PDT 2014","","","13783","100% (1/1)","100% (1/1)","100% (1/1)","Ndim21b_q020_02_993","x436424411q02010x","","x436424411q02010x","51"
