"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input.subjID","Input.keycode","Answer.comments","Answer.keycodeinput","Answer.numcompleted","Approve","Reject"
"341H3G5YF0P3KHWRNWTV0682IGXZ08","3SZEO3JHC8OYGI01JA3DD7RBPZCHYB","RATE_EVENTS#1 (option to continue for bonus hits!)","Read sentences and make judgements","sentences, ratings, emotion, psychology","$0.30","Fri Apr 04 12:33:25 GMT 2014","1","BatchId:1480941;","72000","172800","Fri Apr 11 12:33:25 GMT 2014","","","3ZAZR5XV02TQ1TP1PERGKR6MUC9CZJ","AO63KMU3PGNJA","Approved","Fri Apr 04 13:20:29 GMT 2014","Fri Apr 04 14:48:56 GMT 2014","Sun Apr 06 07:48:56 PDT 2014","Fri Apr 04 13:40:27 PDT 2014","","","5307","100% (1/1)","100% (1/1)","100% (1/1)","Ndim21a_q066_02_243","x436424411q06610x","","x436424411q06610x","17"
"32TZXEA1OLVNO9TKYM75KFE3MD0141","3SZEO3JHC8OYGI01JA3DD7RBPZCHYB","RATE_EVENTS#1 (option to continue for bonus hits!)","Read sentences and make judgements","sentences, ratings, emotion, psychology","$0.30","Fri Apr 04 12:33:25 GMT 2014","1","BatchId:1480941;","72000","172800","Fri Apr 11 12:33:25 GMT 2014","","","31QNSG6A5S455GTIP7JSRLH4USA87G","A195MOXRMNHRVT","Approved","Fri Apr 04 13:01:46 GMT 2014","Fri Apr 04 21:29:05 GMT 2014","Sun Apr 06 14:29:05 PDT 2014","Fri Apr 04 15:31:26 PDT 2014","","","30439","100% (1/1)","100% (1/1)","100% (1/1)","Ndim21a_q067_01_574","x442185152q06700x","","x442185152q06700x","1"
"3RWO3EJELHK9D2F3W6ZTNDPYD9X1PT","3SZEO3JHC8OYGI01JA3DD7RBPZCHYB","RATE_EVENTS#1 (option to continue for bonus hits!)","Read sentences and make judgements","sentences, ratings, emotion, psychology","$0.30","Fri Apr 04 12:33:25 GMT 2014","1","BatchId:1480941;","72000","172800","Fri Apr 11 12:33:25 GMT 2014","","","3PXX5PX6LY96QGPNZMFMSE9V362AB9","AZJ6AT27OKHJL","Approved","Fri Apr 04 13:18:49 GMT 2014","Fri Apr 04 21:24:44 GMT 2014","Sun Apr 06 14:24:44 PDT 2014","Fri Apr 04 15:37:18 PDT 2014","","","29155","100% (1/1)","100% (1/1)","100% (1/1)","Ndim21a_q067_02_251","x436424411q06710x","Could only do 122.  Kept getting a ""valueError"" when I hit continue so had to stop.  Was hoping to finish it...thank you for the hit.","x436424411q06710x","122"
"39RRBHZ0AUCJDIX7QTHKLZYSCC9VZV","3SZEO3JHC8OYGI01JA3DD7RBPZCHYB","RATE_EVENTS#1 (option to continue for bonus hits!)","Read sentences and make judgements","sentences, ratings, emotion, psychology","$0.30","Fri Apr 04 12:33:25 GMT 2014","1","BatchId:1480941;","72000","172800","Fri Apr 11 12:33:25 GMT 2014","","","3CFJTT4SXU1YUM5VYTVJ4ABIXOEI7X","A3LMM8YT404MSH","Approved","Fri Apr 04 12:35:21 GMT 2014","Fri Apr 04 21:03:19 GMT 2014","Sun Apr 06 14:03:19 PDT 2014","Fri Apr 04 15:46:36 PDT 2014","","","30478","100% (1/1)","100% (1/1)","100% (1/1)","Ndim21a_q068_01_345","x442185152q06800x","With the way the rounds are structured, I wasn't sure I could continue after moving my computer (losing internet for a while), so I had to quit now just to make sure.  It's a shame or I would have really done a lot more tonight.  Good luck with your research!","x442185152q06800","14"
"3L2OEKSTW9LLXGRPME4RFE5IVK58YD","3SZEO3JHC8OYGI01JA3DD7RBPZCHYB","RATE_EVENTS#1 (option to continue for bonus hits!)","Read sentences and make judgements","sentences, ratings, emotion, psychology","$0.30","Fri Apr 04 12:33:25 GMT 2014","1","BatchId:1480941;","72000","172800","Fri Apr 11 12:33:25 GMT 2014","","","3MX2NQ3YCA5GXDG79MGN90K1UVTX53","A2S6QOCFC3EAYH","Approved","Fri Apr 04 15:17:27 GMT 2014","Fri Apr 04 20:41:08 GMT 2014","Sun Apr 06 13:41:08 PDT 2014","Fri Apr 04 15:35:20 PDT 2014","","","19421","100% (1/1)","100% (1/1)","100% (1/1)","Ndim21a_q068_02_740","x436424411q06810x","","x436424411q06810x","24"
"3ULIZ0H1VAG5KSXKCRQFP7KHM9V156","3SZEO3JHC8OYGI01JA3DD7RBPZCHYB","RATE_EVENTS#1 (option to continue for bonus hits!)","Read sentences and make judgements","sentences, ratings, emotion, psychology","$0.30","Fri Apr 04 12:33:25 GMT 2014","1","BatchId:1480941;","72000","172800","Fri Apr 11 12:33:25 GMT 2014","","","3KGTPGBS6YWWHC3PMY32RMILG3F2U9","AWDBHQA8XK0G1","Submitted","Fri Apr 04 12:38:55 GMT 2014","Sat Apr 05 00:23:46 GMT 2014","Sun Apr 06 17:23:46 PDT 2014","","","","42291","100% (1/1)","0% (0/0)","0% (0/0)","Ndim21a_q069_01_509","x442185152q06900x","","x442185152q06900x","28"
"3XU80RHWHZR4G8Q3L4Q7IDL6YXA44H","3SZEO3JHC8OYGI01JA3DD7RBPZCHYB","RATE_EVENTS#1 (option to continue for bonus hits!)","Read sentences and make judgements","sentences, ratings, emotion, psychology","$0.30","Fri Apr 04 12:33:25 GMT 2014","1","BatchId:1480941;","72000","172800","Fri Apr 11 12:33:25 GMT 2014","","","34BBWHLWHBMDK16W613VWQAZQFPWIF","ANYRA8VB010OG","Submitted","Fri Apr 04 13:36:51 GMT 2014","Sat Apr 05 01:16:51 GMT 2014","Sun Apr 06 18:16:51 PDT 2014","","","","42000","0% (0/0)","0% (0/0)","0% (0/0)","Ndim21a_q069_02_389","x436424411q06910x","Fun and educational HIT, hope you enjoy the data","x436424411q06910x","101"
"3B9XR6P1WE6E4PUX3QNYWTGVQMHJBT","3SZEO3JHC8OYGI01JA3DD7RBPZCHYB","RATE_EVENTS#1 (option to continue for bonus hits!)","Read sentences and make judgements","sentences, ratings, emotion, psychology","$0.30","Fri Apr 04 12:33:25 GMT 2014","1","BatchId:1480941;","72000","172800","Fri Apr 11 12:33:25 GMT 2014","","","35GMH2SV3FSTZNV8JWMUUHZLVKIEOB","A3BL2ZEODD79AZ","Approved","Fri Apr 04 13:18:47 GMT 2014","Fri Apr 04 13:26:30 GMT 2014","Sun Apr 06 06:26:30 PDT 2014","Fri Apr 04 13:40:33 PDT 2014","","","463","100% (1/1)","100% (1/1)","100% (1/1)","Ndim21a_q070_01_526","x442185152q07000x","","x442185152q07000x.","1"
"3PMR2DOWOOCMCRU3Z99HN5RKYT545M","3SZEO3JHC8OYGI01JA3DD7RBPZCHYB","RATE_EVENTS#1 (option to continue for bonus hits!)","Read sentences and make judgements","sentences, ratings, emotion, psychology","$0.30","Fri Apr 04 12:33:25 GMT 2014","1","BatchId:1480941;","72000","172800","Fri Apr 11 12:33:25 GMT 2014","","","34HJIJKLP676X57CV2WVGNH2EOJV4M","A1RDT8BS8A8S76","Approved","Fri Apr 04 12:48:42 GMT 2014","Fri Apr 04 17:24:03 GMT 2014","Sun Apr 06 10:24:03 PDT 2014","Fri Apr 04 13:41:49 PDT 2014","","","16521","100% (1/1)","100% (1/1)","100% (1/1)","Ndim21a_q070_02_121","x436424411q07010x","No I do not","x436424411q07010x","60"
"3XAOZ9UYRZ2UDEGIWJEINIF8I5J1QK","3SZEO3JHC8OYGI01JA3DD7RBPZCHYB","RATE_EVENTS#1 (option to continue for bonus hits!)","Read sentences and make judgements","sentences, ratings, emotion, psychology","$0.30","Fri Apr 04 12:33:26 GMT 2014","1","BatchId:1480941;","72000","172800","Fri Apr 11 12:33:26 GMT 2014","","","3GFK2QRXXAS18DBHZHK17H6ULTJW55","A2YV5MZI8ZIDEV","Approved","Fri Apr 04 13:33:04 GMT 2014","Fri Apr 04 13:47:52 GMT 2014","Sun Apr 06 06:47:52 PDT 2014","Fri Apr 04 13:42:08 PDT 2014","","","888","100% (1/1)","100% (1/1)","100% (1/1)","Ndim21a_q071_01_447","x442185152q07100x","","x442185152q07100x","2"
