"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input.subjID","Input.keycode","Answer.comments","Answer.keycodeinput","Answer.numcompleted","Approve","Reject"
"31J7RYECZL1JMH054E6M6WGE8XB1L6","3SZEO3JHC8OYGI01JA3DD7RBPZCHYB","RATE_EVENTS#1 (option to continue for bonus hits!)","Read sentences and make judgements","sentences, ratings, emotion, psychology","$0.30","Wed Apr 02 04:09:59 GMT 2014","1","BatchId:1477851;","72000","172800","Wed Apr 09 04:09:59 GMT 2014","","","3CCZ6YKWR8UQWHY966A9TXYJNNH59X","AUQTHU5AOZVQC","Approved","Wed Apr 02 04:46:53 GMT 2014","Wed Apr 02 07:40:19 GMT 2014","Fri Apr 04 00:40:19 PDT 2014","Wed Apr 02 05:59:35 PDT 2014","","","10406","100% (1/1)","100% (1/1)","100% (1/1)","Ndim21a_q046_02_805","x436424411q04610x","I found this study to be interesting and a lot of fun to complete.","x436424411q04610x","20"
"33BFF6QPI1MV7EQJVWR730CR4OSW3L","3SZEO3JHC8OYGI01JA3DD7RBPZCHYB","RATE_EVENTS#1 (option to continue for bonus hits!)","Read sentences and make judgements","sentences, ratings, emotion, psychology","$0.30","Wed Apr 02 04:09:59 GMT 2014","1","BatchId:1477851;","72000","172800","Wed Apr 09 04:09:59 GMT 2014","","","386PBUZZXG8T4IE3K5HTZG8J5IXJLY","A7WWIOK53MJFF","Approved","Wed Apr 02 05:45:15 GMT 2014","Wed Apr 02 06:14:04 GMT 2014","Thu Apr 03 23:14:04 PDT 2014","Wed Apr 02 05:48:11 PDT 2014","","","1729","100% (9/9)","100% (1/1)","100% (1/1)","Ndim21a_q051_01_883","x442185152q05100x","","x442185152q05100x","1"
"33BFF6QPI1MV7EQJVWR730CR4OSW3L","3SZEO3JHC8OYGI01JA3DD7RBPZCHYB","RATE_EVENTS#1 (option to continue for bonus hits!)","Read sentences and make judgements","sentences, ratings, emotion, psychology","$0.30","Wed Apr 02 04:09:59 GMT 2014","1","BatchId:1477851;","72000","172800","Wed Apr 09 04:09:59 GMT 2014","","","3MD9PLUKKJP9SXMSE40U020YTB2ZNT","A25L4WWD0FGNJX","Rejected","Wed Apr 02 04:16:19 GMT 2014","Wed Apr 02 04:20:55 GMT 2014","Thu Apr 03 21:20:55 PDT 2014","","Tue Apr 01 22:07:14 PDT 2014","did not complete task","276","0% (0/1)","0% (0/1)","0% (0/1)","Ndim21a_q051_01_883","x442185152q05100x","I entered the above ID to start the hit and was told it was incorrect -   ""The subject ID you have provided is incorrect. Please return to the previous page and re-enter the subject ID provided on your Mechanical Turk start page"".
I attempted to copy and paste the ID several times.  Thanks.","",""
"36FFXPMST9Z2WDOGJVPZQ00FKRCHO2","3SZEO3JHC8OYGI01JA3DD7RBPZCHYB","RATE_EVENTS#1 (option to continue for bonus hits!)","Read sentences and make judgements","sentences, ratings, emotion, psychology","$0.30","Wed Apr 02 04:09:59 GMT 2014","1","BatchId:1477851;","72000","172800","Wed Apr 09 04:09:59 GMT 2014","","","3R08VXYT7D6GVHP0NAZY51KQCUU7W1","A449IIYHDTWEC","Approved","Wed Apr 02 04:16:35 GMT 2014","Wed Apr 02 04:32:07 GMT 2014","Thu Apr 03 21:32:07 PDT 2014","Tue Apr 01 22:07:23 PDT 2014","","","932","100% (2/2)","100% (2/2)","100% (1/1)","Ndim21a_q047_01_838","x442185152q04700x","","x442185152q04700x","2"
"38EHZ67RIM30WE8TM9S4DWZ9ARJGMM","3SZEO3JHC8OYGI01JA3DD7RBPZCHYB","RATE_EVENTS#1 (option to continue for bonus hits!)","Read sentences and make judgements","sentences, ratings, emotion, psychology","$0.30","Wed Apr 02 04:09:59 GMT 2014","1","BatchId:1477851;","72000","172800","Wed Apr 09 04:09:59 GMT 2014","","","39K0FND3AIQ297TKQB5V6UKPF0NAM5","A3QJPB0NZU5PY1","Approved","Wed Apr 02 04:28:28 GMT 2014","Wed Apr 02 04:44:48 GMT 2014","Thu Apr 03 21:44:48 PDT 2014","Tue Apr 01 22:07:22 PDT 2014","","","980","100% (1/1)","100% (1/1)","100% (1/1)","Ndim21a_q049_02_605","x436424411q04910x","","x436424411q04910x","2"
"3IZVJEBJ6AVYYSI6PL9C97ITVHYZ6K","3SZEO3JHC8OYGI01JA3DD7RBPZCHYB","RATE_EVENTS#1 (option to continue for bonus hits!)","Read sentences and make judgements","sentences, ratings, emotion, psychology","$0.30","Wed Apr 02 04:09:59 GMT 2014","1","BatchId:1477851;","72000","172800","Wed Apr 09 04:09:59 GMT 2014","","","3HHRAGRYX9GC4R4RBL6823YA4IV9OF","A1E9ROYYDSQ2V9","Approved","Wed Apr 02 07:18:14 GMT 2014","Wed Apr 02 07:32:52 GMT 2014","Fri Apr 04 00:32:52 PDT 2014","Wed Apr 02 05:48:10 PDT 2014","","","878","100% (1/1)","100% (1/1)","100% (1/1)","Ndim21a_q050_02_150","x436424411q05010x","","x436424411q05010x","1"
"3JMNNNO3B1F6MWU0RWD2KQ7ZYASW2A","3SZEO3JHC8OYGI01JA3DD7RBPZCHYB","RATE_EVENTS#1 (option to continue for bonus hits!)","Read sentences and make judgements","sentences, ratings, emotion, psychology","$0.30","Wed Apr 02 04:09:59 GMT 2014","1","BatchId:1477851;","72000","172800","Wed Apr 09 04:09:59 GMT 2014","","","3RANCT1ZVGSQ5P3L5RWDSFLPA49UBA","A1VZSFHTU51JP0","Approved","Wed Apr 02 04:14:48 GMT 2014","Wed Apr 02 22:36:53 GMT 2014","Fri Apr 04 15:36:53 PDT 2014","Wed Apr 02 18:03:27 PDT 2014","","","66125","100% (2/2)","100% (1/1)","100% (1/1)","Ndim21a_q049_01_566","x442185152q04900x","","x442185152q04900x","1"
"3P4C70TRMRSGQWQ8MXRPDJKKAMTGLK","3SZEO3JHC8OYGI01JA3DD7RBPZCHYB","RATE_EVENTS#1 (option to continue for bonus hits!)","Read sentences and make judgements","sentences, ratings, emotion, psychology","$0.30","Wed Apr 02 04:09:59 GMT 2014","1","BatchId:1477851;","72000","172800","Wed Apr 09 04:09:59 GMT 2014","","","3634BBTX0P5B9FK1GCTVS2OZV7LIFF","A3TF2FDYJLSEMS","Rejected","Wed Apr 02 05:42:18 GMT 2014","Wed Apr 02 06:15:06 GMT 2014","Thu Apr 03 23:15:06 PDT 2014","","Wed Apr 02 05:59:56 PDT 2014","subject appeared to answer questions randomly","1968","0% (0/1)","0% (0/1)","0% (0/1)","Ndim21a_q047_02_897","x436424411q04710x","","x436424411q04710x","11"
"3P4C70TRMRSGQWQ8MXRPDJKKAMTGLK","3SZEO3JHC8OYGI01JA3DD7RBPZCHYB","RATE_EVENTS#1 (option to continue for bonus hits!)","Read sentences and make judgements","sentences, ratings, emotion, psychology","$0.30","Wed Apr 02 04:09:59 GMT 2014","1","BatchId:1477851;","72000","172800","Wed Apr 09 04:09:59 GMT 2014","","","3URFVVM166TMNN61B5CGEXSS18TZUL","AHZ5YRRIRTLJG","Approved","Wed Apr 02 14:33:35 GMT 2014","Wed Apr 02 15:04:42 GMT 2014","Fri Apr 04 08:04:42 PDT 2014","Wed Apr 02 09:56:38 PDT 2014","","","1867","100% (1/1)","100% (1/1)","100% (1/1)","Ndim21a_q047_02_897","x436424411q04710x","","x436424411q04710x","completed 3 rounds"
"3VW0145YLYNANGYUUFD7A9RP2J0JMT","3SZEO3JHC8OYGI01JA3DD7RBPZCHYB","RATE_EVENTS#1 (option to continue for bonus hits!)","Read sentences and make judgements","sentences, ratings, emotion, psychology","$0.30","Wed Apr 02 04:09:59 GMT 2014","1","BatchId:1477851;","72000","172800","Wed Apr 09 04:09:59 GMT 2014","","","3IHR8NYAM8CTSLAG9QNWAVSKSV3P46","A2OLVF6P86QSQJ","Approved","Wed Apr 02 04:45:04 GMT 2014","Wed Apr 02 04:50:50 GMT 2014","Thu Apr 03 21:50:50 PDT 2014","Tue Apr 01 22:07:22 PDT 2014","","","346","100% (2/2)","100% (2/2)","100% (1/1)","Ndim21a_q050_01_483","x442185152q05000x","","x442185152q05000x","1"
